#{"t_start": 1615678322.2314985, "env_id": null}
r,l,t,is_success,time
3254.944425,1,32189.385675,False,500
3265.463894,1,32216.860213,False,500
3243.815909,1,32244.761599,False,500
40000,1,32249.681477,True,102
3245.351962,1,32277.558674,False,500
40000,1,32283.615165,True,102
40000,1,32289.665502,True,102
3242.032739,1,32311.915269,False,500
3252.358678,1,32339.713707,False,500
40000,1,32345.740874,True,102
3239.923305,1,32366.200377,False,500
40000,1,32370.905903,True,102
40000,1,32376.905949,True,102
3239.689927,1,32404.870046,False,500
3238.523885,1,32432.222383,False,500
40000,1,32438.167631,True,102
40000,1,32444.194266,True,102
3236.434384,1,32464.718246,False,500
40000,1,32471.483786,True,114
40000,1,32476.179817,True,102
40000,1,32480.837721,True,102
3270.707845,1,32508.57773,False,500
40000,1,32524.98536,True,293
40000,1,32530.966961,True,102
3242.125315,1,32558.878987,False,500
40000,1,32563.549314,True,101
40000,1,32580.509334,True,301
40000,1,32586.479347,True,100
40000,1,32592.469046,True,102
40000,1,32598.459697,True,102
40000,1,32622.706129,True,441
3235.438439,1,32650.709566,False,500
40000,1,32656.82072,True,102
40000,1,32662.964589,True,102
40000,1,32685.60223,True,403
3265.953149,1,32706.217052,False,500
40000,1,32710.887952,True,102
2959.278008,1,32738.556796,False,500
3236.584665,1,32766.328614,False,500
40000,1,32772.542545,True,102
3237.68694,1,32793.949136,False,500
3252.781529,1,32820.872763,False,500
3257.443,1,32849.682149,False,500
40000,1,32854.41747,True,102
40000,1,32862.772125,True,195
40000,1,32868.76493,True,102
40000,1,32873.255788,True,99
40000,1,32879.300532,True,102
40000,1,32885.34754,True,102
3247.05191,1,32905.97396,False,500
3257.636289,1,32926.547419,False,500
40000,1,32944.793174,True,324
40000,1,32950.824485,True,102
3030.064742,1,32972.982919,False,500
40000,1,32983.904787,True,192
3223.040628,1,33011.544494,False,500
40000,1,33017.56516,True,102
40000,1,33023.539783,True,101
3236.226544,1,33051.211774,False,500
3236.553716,1,33078.72267,False,500
40000,1,33084.80408,True,102
3221.470945,1,33112.230014,False,500
3264.32401,1,33133.15948,False,500
40000,1,33137.791055,True,102
40000,1,33158.209033,True,366
3255.107818,1,33178.756248,False,500
3230.918916,1,33206.50957,False,500
3254.215866,1,33234.205496,False,500
40000,1,33238.944372,True,102
40000,1,33244.086596,True,113
40000,1,33250.214035,True,102
40000,1,33256.189066,True,102
3230.607886,1,33284.010822,False,500
3259.24212,1,33308.271792,False,500
3243.722899,1,33335.821512,False,500
3244.874456,1,33363.328306,False,500
40000,1,33381.421251,True,326
40000,1,33387.442858,True,102
40000,1,33392.081031,True,102
40000,1,33396.717517,True,102
40000,1,33413.339902,True,294
40000,1,33419.440499,True,102
40000,1,33425.518207,True,102
3227.913384,1,33453.00764,False,500
40000,1,33471.231185,True,326
40000,1,33490.188757,True,341
40000,1,33496.198591,True,102
40000,1,33502.363296,True,102
3232.870731,1,33523.013371,False,500
3250.480006,1,33543.70733,False,500
40000,1,33550.287966,True,111
40000,1,33556.302594,True,102
40000,1,33567.268045,True,194
40000,1,33571.986897,True,102
3263.180321,1,33592.752104,False,500
40000,1,33598.780445,True,102
3245.056993,1,33626.31894,False,500
3222.49717,1,33653.427192,False,500
3224.547739,1,33680.877988,False,500
40000,1,33686.90999,True,102
40000,1,33703.455273,True,296
3236.69753,1,33731.334063,False,500
40000,1,33737.37828,True,102
3227.471697,1,33765.158626,False,500
3242.528632,1,33792.671377,False,500
40000,1,33798.76553,True,102
3227.593847,1,33826.563039,False,500
3261.311113,1,33846.881536,False,500
40000,1,33852.878914,True,102
3224.453674,1,33880.631649,False,500
40000,1,33886.549509,True,99
2988.777073,1,33907.500436,False,500
3247.653879,1,33935.374142,False,500
40000,1,33941.463877,True,102
40000,1,33947.496161,True,102
40000,1,33954.024841,True,112
3236.305402,1,33981.452289,False,500
40000,1,33995.026017,True,321
40000,1,34001.018635,True,102
3230.014498,1,34021.521343,False,500
3227.753485,1,34048.924937,False,500
3252.877266,1,34069.587368,False,500
3235.314224,1,34090.016446,False,500
40000,1,34094.639607,True,102
3242.296445,1,34122.029542,False,500
40000,1,34133.032061,True,193
3242.977175,1,34160.708328,False,500
3214.642292,1,34188.351902,False,500
3225.247486,1,34215.884086,False,500
3250.936702,1,34243.866033,False,500
40000,1,34249.930261,True,102
3245.829382,1,34277.443102,False,500
3252.098296,1,34304.993915,False,500
40000,1,34309.608886,True,102
40000,1,34315.607805,True,101
40000,1,34321.625841,True,102
40000,1,34327.521168,True,99
40000,1,34333.562168,True,102
3226.200908,1,34361.380105,False,500
40000,1,34367.473285,True,102
3262.104684,1,34395.533329,False,500
40000,1,34400.120353,True,101
40000,1,34406.163237,True,102
40000,1,34410.823084,True,102
40000,1,34416.904773,True,102
3243.619608,1,34437.196582,False,500
3254.676185,1,34457.514294,False,500
40000,1,34462.118361,True,102
40000,1,34468.719646,True,114
40000,1,34473.331579,True,102
40000,1,34493.881442,True,372
3227.980231,1,34521.340779,False,500
3225.204612,1,34548.610331,False,500
40000,1,34565.931387,True,313
40000,1,34571.432701,True,102
40000,1,34577.423978,True,102
40000,1,34582.068655,True,102
3234.766151,1,34602.640596,False,500
3245.298587,1,34630.066807,False,500
3248.453311,1,34657.535872,False,500
40000,1,34663.642866,True,102
40000,1,34669.706249,True,102
40000,1,34675.752207,True,100
40000,1,34681.793828,True,102
3225.663859,1,34702.678274,False,500
40000,1,34719.775838,True,306
40000,1,34725.788504,True,102
3258.377914,1,34746.563493,False,500
40000,1,34770.268716,True,421
40000,1,34781.226543,True,193
3251.688224,1,34809.06018,False,500
40000,1,34814.078462,True,108
3225.084025,1,34842.146902,False,500
40000,1,34849.205214,True,120
40000,1,34855.25298,True,102
40000,1,34861.252387,True,102
2941.514996,1,34889.385973,False,500
40000,1,34895.389082,True,102
3244.409357,1,34923.009859,False,500
40000,1,34929.002873,True,102
3180.929228,1,34956.285089,False,500
40000,1,34962.495916,True,102
40000,1,34968.558548,True,102
40000,1,34974.645402,True,102
3241.343623,1,34995.150665,False,500
3258.75903,1,35022.955786,False,500
40000,1,35029.811722,True,116
40000,1,35035.913111,True,102
3259.072721,1,35063.449632,False,500
40000,1,35069.460202,True,102
3230.052463,1,35096.954497,False,500
40000,1,35102.975047,True,102
40000,1,35108.941234,True,102
3247.769355,1,35136.464315,False,500
40000,1,35142.501405,True,102
40000,1,35148.500788,True,102
40000,1,35153.171774,True,102
3245.929668,1,35180.731333,False,500
40000,1,35193.347589,True,296
3255.376319,1,35221.22019,False,500
40000,1,35227.265437,True,102
40000,1,35233.288304,True,102
3236.697037,1,35253.781157,False,500
40000,1,35275.475924,True,392
3219.259865,1,35303.158438,False,500
3249.719062,1,35331.149505,False,500
3254.478012,1,35358.996028,False,500
3238.365236,1,35386.613517,False,500
40000,1,35397.441501,True,189
40000,1,35403.511775,True,102
3230.876817,1,35424.120275,False,500
3241.494078,1,35451.821693,False,500
40000,1,35457.900945,True,102
40000,1,35463.942948,True,102
3227.835971,1,35491.687118,False,500
40000,1,35497.731244,True,102
40000,1,35503.708567,True,102
40000,1,35509.749666,True,102
40000,1,35515.775002,True,102
40000,1,35521.921789,True,102
40000,1,35528.110899,True,104
40000,1,35534.160181,True,102
40000,1,35538.775756,True,102
40000,1,35544.639598,True,131
3262.59105,1,35565.853572,False,500
3229.797437,1,35586.662912,False,500
40000,1,35591.350758,True,102
40000,1,35597.391337,True,102
40000,1,35603.377637,True,102
40000,1,35609.346772,True,102
40000,1,35614.900984,True,102
40000,1,35620.958095,True,102
40000,1,35629.24801,True,194
40000,1,35633.834932,True,102
3240.296347,1,35661.261581,False,500
3230.881413,1,35688.851056,False,500
3259.165952,1,35716.583024,False,500
3225.362934,1,35744.297479,False,500
40000,1,35750.31677,True,102
2984.106227,1,35778.119686,False,500
40000,1,35784.192081,True,102
40000,1,35797.960212,True,327
3254.073961,1,35825.47737,False,500
40000,1,35831.497733,True,102
40000,1,35836.200876,True,102
40000,1,35842.277982,True,102
40000,1,35857.430976,True,272
40000,1,35862.561834,True,102
40000,1,35868.532265,True,102
40000,1,35874.546771,True,102
40000,1,35885.487603,True,194
3249.716074,1,35912.957512,False,500
